id,k,weight
ctrnact-05_34-5d3_5f2-1,5,5
ctrnact-05_34-5d3_5f2-2,5,5
ctrnact-05_34-5d4_5f-1,5,10
ctrnact-05_34-5d_5e2_6a_6f-1,5,6
ctrnact-05_34-5d_5e_5f_6f_6h-1,5,5
ctrnact-05_34-5d_5e_5f_6h_6i-1,5,4
ctrnact-05_34-5d_5f4-1,5,5
ctrnact-05_34-5e3_5f_6f-1,5,4
ctrnact-05_34-5e_5f3_6f-1,5,6
ctrnact-05_346-3d_4d_4k_4l_5e-1,5,5
ctrnact-05_346-3f_3g_4e_4k_5c-1,5,7
ctrnact-05_346-3g2_4e_4k_5c-1,5,8
ctrnact-05_346-4d2_4k_5e_6a-1,5,7
ctrnact-05_346-4d_4e_4h2_4k-1,5,9
ctrnact-05_346-4d_4e_4h2_4k-2,5,9
ctrnact-05_346-4d_4f_4h_4k2-1,5,8
ctrnact-05_346-4d_4f_4h_4k2-2,5,8
ctrnact-05_346-4d_4h2_4j_4k-1,5,9
ctrnact-05_346-4d_4h2_4j_4k-2,5,9
ctrnact-05_346-4d_4h_4k_4r_4u-1,5,8
ctrnact-05_346-4d_4h_4k_4s_4u-1,5,8
ctrnact-05_346-4d_4h_4k_4u2-1,5,9
ctrnact-05_346-4d_4h_4k_4u2-2,5,9
ctrnact-05_346-4d_4h_4k_5d_6i-1,5,8
ctrnact-05_346-4d_4h_5b_5c2-1,5,7
ctrnact-05_346-4d_4h_5b_5c2-3,5,7
ctrnact-05_346-4d_4k2_4l_5e-1,5,8
ctrnact-05_346-4d_4k2_4u_5e-1,5,6
ctrnact-05_346-4d_4k2_5e2-1,5,4
ctrnact-05_346-4d_4k_4l_4m_5e-1,5,8
ctrnact-05_346-4d_4k_5b_5c_6f-1,5,5
ctrnact-05_346-4e2_4k2_5d-1,5,8
ctrnact-05_346-4e2_4k2_5d-7,5,4
ctrnact-05_346-4e_4f_4h_4k_4r-1,5,8
ctrnact-05_346-4e_4f_4h_4k_4s-1,5,8
ctrnact-05_346-4e_4f_4h_4k_4u-1,5,9
ctrnact-05_346-4e_4f_4h_4k_4u-2,5,9
ctrnact-05_346-4e_4g_4h2_4k-1,5,9
ctrnact-05_346-4e_4g_4h2_4k-2,5,9
ctrnact-05_346-4e_4h2_4k2-18,5,10
ctrnact-05_346-4e_4k2_4l_5c-1,5,8
ctrnact-05_346-4e_4k_4l_4m_5c-1,5,8
ctrnact-05_346-4e_4k_4p_4s_5c-1,5,5
ctrnact-05_346-4e_4k_4s_4u_5c-1,5,6
ctrnact-05_346-4e_4k_5c2_5d-1,5,6
ctrnact-05_346-4e_5b_5c_5d_6i-1,5,6
ctrnact-05_346-4f_4g_4h_4k2-1,5,8
ctrnact-05_346-4f_4g_4h_4k2-3,5,8
ctrnact-05_346-4f_4h_4j_4k_4r-1,5,8
ctrnact-05_346-4f_4h_4j_4k_4s-1,5,8
ctrnact-05_346-4f_4h_4j_4k_4u-1,5,9
ctrnact-05_346-4f_4h_4j_4k_4u-2,5,9
ctrnact-05_346-4f_4h_4k3-2,5,9
ctrnact-05_346-4f_4h_4k3-5,5,9
ctrnact-05_346-4f_4k2_5a_5c-1,5,5
ctrnact-05_346-4f_4k_4r_4u2-1,5,8
ctrnact-05_346-4f_4k_4s_4u2-1,5,8
ctrnact-05_346-4f_4k_4u3-1,5,9
ctrnact-05_346-4f_4k_4u3-2,5,9
ctrnact-05_346-4f_4k_4u_5d_6i-1,5,8
ctrnact-05_346-4f_4k_5c2_5d-1,5,7
ctrnact-05_346-4f_4k_5c2_5d-2,5,7
ctrnact-05_346-4f_4k_5d_6f2-1,5,6
ctrnact-05_346-4f_4s_5b_5c2-1,5,6
ctrnact-05_346-4f_5b_5d_6i2-1,5,7
ctrnact-05_346-4f_5b_5d_6i2-2,5,7
ctrnact-05_346-4g_4h2_4j_4k-1,5,9
ctrnact-05_346-4g_4h2_4j_4k-2,5,9
ctrnact-05_346-4g_4h_4k_4r_4u-1,5,8
ctrnact-05_346-4g_4h_4k_4s_4u-1,5,8
ctrnact-05_346-4g_4h_4k_4u2-1,5,9
ctrnact-05_346-4g_4h_4k_4u2-2,5,9
ctrnact-05_346-4g_4h_4k_5d_6i-1,5,8
ctrnact-05_346-4g_4h_5b_5c2-1,5,7
ctrnact-05_346-4g_4h_5b_5c2-5,5,7
ctrnact-05_346-4g_4k2_5d2-1,5,5
ctrnact-05_346-4h2_4j_4k2-10,5,10
ctrnact-05_346-4h_4k2_4r_4s-1,5,8
ctrnact-05_346-4h_4k2_4r_4u-1,5,9
ctrnact-05_346-4h_4k2_4r_4u-2,5,9
ctrnact-05_346-4h_4k2_4r_4u-3,5,9
ctrnact-05_346-4h_4k2_4r_4u-4,5,9
ctrnact-05_346-4h_4k2_4s_4u-1,5,9
ctrnact-05_346-4h_4k2_4s_4u-2,5,9
ctrnact-05_346-4h_4k2_4s_4u-3,5,9
ctrnact-05_346-4h_4k2_4s_4u-4,5,9
ctrnact-05_346-4h_4k2_4u2-14,5,10
ctrnact-05_346-4h_4k2_4u2-5,5,10
ctrnact-05_346-4h_4k2_4u2-6,5,10
ctrnact-05_346-4h_4k2_4u2-7,5,10
ctrnact-05_346-4h_4k2_4u2-8,5,10
ctrnact-05_346-4h_4k2_5d_6i-1,5,9
ctrnact-05_346-4h_4k2_5d_6i-2,5,9
ctrnact-05_346-4h_4k2_5e_6a-1,5,7
ctrnact-05_346-4h_4k_4l_5a_6a-1,5,7
ctrnact-05_346-4h_4k_4m_5e_6a-1,5,7
ctrnact-05_346-4h_4k_4r_5b_6i-1,5,8
ctrnact-05_346-4h_4k_4s_5b_6i-1,5,8
ctrnact-05_346-4h_4k_4u_5b_6i-1,5,9
ctrnact-05_346-4h_4k_4u_5b_6i-2,5,9
ctrnact-05_346-4h_4k_5b_5c2-1,5,8
ctrnact-05_346-4h_4k_5b_5c2-2,5,8
ctrnact-05_346-4h_4k_5b_5c2-5,5,8
ctrnact-05_346-4h_4k_5b_5c2-6,5,8
ctrnact-05_346-4h_4k_5b_6f2-1,5,7
ctrnact-05_346-4h_4k_5b_6f2-2,5,7
ctrnact-05_346-4i_4k2_4l_4m-1,5,7
ctrnact-05_346-4i_4k2_5d2-1,5,10
ctrnact-05_346-4j_4k2_5b2-1,5,12
ctrnact-05_346-4j_4k2_5b2-10,5,12
ctrnact-05_346-4j_4k2_5b2-2,5,6
ctrnact-05_346-4j_4k2_5b2-9,5,6
ctrnact-05_346-4k2_4l_4m2-1,5,9
ctrnact-05_346-4k2_4m_5c_5f-1,5,5
ctrnact-05_346-4k2_5a2_5d-1,5,6
ctrnact-05_346-4k_4l2_5d_6d-1,5,5
ctrnact-05_346-4k_4l_4m_5a_5c-1,5,6
ctrnact-05_346-4k_4p_4s_5a_5c-1,5,4
ctrnact-05_346-4k_4s_4u_5a_5c-1,5,5
ctrnact-05_346-4k_4s_5a_5c_5e-1,5,7
ctrnact-05_346-4k_4u_5a_5d_6f-1,5,5
ctrnact-05_346-4k_5a_5c2_5d-1,5,5
ctrnact-05_346-4k_5a_5c_5d_6h-1,5,5
ctrnact-05_346-4k_5b2_5c_5d-1,5,5
ctrnact-05_346-4k_5b2_5c_6i-1,5,6
ctrnact-05_346-4k_5b2_5d_6i-1,5,5
ctrnact-05_346-4k_5b2_5d_6i-2,5,5
ctrnact-05_346-4l3_5e_5f-2,5,7
ctrnact-05_346-4l_4m_5c_5e_5f-1,5,4
ctrnact-05_346-4l_4m_5c_5f2-1,5,5
