idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
198,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,3,0,13,909
199,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,4,0,13,1116
200,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,8,0,17,4099
201,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,6,0,15,2203
202,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,8,0,17,4169
203,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,1,0,10,274
204,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,3,0,12,907
205,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,1,0,10,303
206,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,5,0,14,1767
207,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,4,0,13,1165
208,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,6,0,15,2325
209,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,timecap,-1,14,0,18,10584
210,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,1,0,11,245
211,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,3,0,12,631
212,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,2,0,11,448
213,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,3,0,13,696
214,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,2,0,12,459
215,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,3,0,13,716
216,"[3,3,3,4,4;3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,7,0,17,3304
217,"[3,3,3,4,4;3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,11,0,21,8192
218,"[3,3,3,4,4;3,3,3,4,4;3,3,4,3,4]",survived,wall,-1,7,0,17,2861
219,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,3,0,13,649
220,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,7,0,17,2847
221,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,3,0,13,665
222,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,timecap,-1,15,0,18,11581
223,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,6,0,15,1935
224,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,6,0,15,1994
225,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,3,0,13,704
226,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,0,0,9,79
227,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,5,0,14,1334
228,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,timecap,-1,15,0,18,11648
229,"[3,3,3,4,4;3,3,4,3,4;3,3,3,4,4]",survived,wall,-1,1,0,10,210
230,"[3,3,3,4,4;3,3,4,12;3,3,4,3,4]",killed,entropy0,3,3,0,10,735
231,"[3,3,3,4,4;3,3,4,12;3,3,4,3,4]",killed,entropy0,3,3,0,9,783
232,"[3,3,3,4,4;3,3,4,12;3,3,4,3,4]",killed,entropy0,2,2,0,9,473
233,"[3,3,3,4,4;3,3,4,3,4;3,3,12,4]",killed,entropy0,3,3,0,9,784
234,"[3,3,3,4,4;3,3,4,3,4;3,3,4,12]",survived,timecap,-1,13,1,15,10158
235,"[3,3,3,4,4;3,3,4,3,4;3,3,12,4]",survived,timecap,-1,12,2,15,11757
236,"[3,3,3,4,4;3,3,4,3,4;3,3,12,4]",killed,entropy0,4,4,0,10,1288
237,"[3,3,3,4,4;3,3,4,3,4;3,3,4,12]",killed,entropy0,3,3,1,10,1231
238,"[3,3,3,4,4;3,3,4,3,4;3,3,12,4]",survived,timecap,-1,13,0,14,10913
239,"[3,3,3,4,4;3,3,4,3,4;3,4,3,12]",killed,entropy0,1,1,0,8,258
240,"[3,3,3,4,4;3,3,4,3,4;3,4,3,12]",killed,entropy0,1,1,1,9,392
241,"[3,3,3,4,4;3,3,4,3,4;3,4,3,12]",survived,timecap,-1,14,1,16,11801
242,"[3,3,3,4,4;3,3,4,3,4;3,4,3,12]",survived,timecap,-1,14,1,16,10970
243,"[3,3,3,4,4;3,3,4,3,4;3,4,4,6]",survived,wall,-1,10,0,18,6660
244,"[3,3,3,4,4;3,3,4,3,4;3,6,4,4]",killed,entropy0,2,2,0,8,387
245,"[3,3,3,4,4;3,3,4,3,4;3,4,4,6]",survived,wall,-1,11,0,19,7990
246,"[3,3,3,4,4;3,3,4,3,4;3,4,4,6]",survived,wall,-1,12,0,19,9830
247,"[3,3,3,4,4;3,3,4,3,4;3,6,4,4]",killed,entropy0,1,1,0,9,240
248,"[3,3,3,4,4;3,3,4,3,4;3,4,4,6]",survived,wall,-1,8,0,17,4410
249,"[3,3,3,4,4;3,3,4,3,4;3,6,4,4]",survived,wall,-1,8,0,17,4464
250,"[3,3,3,4,4;3,4,4,6;3,3,4,3,4]",survived,wall,-1,7,0,16,2630
251,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,9,0,17,4545
252,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,8,0,17,3415
253,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,13,0,20,10406
254,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,6,0,15,2216
255,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,16,2878
256,"[3,3,3,4,4;3,4,6,4;3,3,4,3,4]",survived,wall,-1,6,0,14,1903
257,"[3,3,3,4,4;3,4,6,4;3,3,4,3,4]",survived,wall,-1,7,0,15,2595
258,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,16,2814
259,"[3,3,3,4,4;3,3,4,3,4;3,4,6,4]",survived,wall,-1,7,0,16,3064
260,"[3,3,3,4,4;3,3,4,3,4;4,4,4,4]",survived,wall,-1,3,0,11,731
261,"[3,3,3,4,4;3,3,4,3,4;4,4,4,4]",survived,wall,-1,3,0,11,700
262,"[3,3,3,4,4;3,3,4,3,4;4,4,4,4]",survived,wall,-1,4,0,11,1088
263,"[3,3,3,4,4;3,3,4,12;3,3,12,4]",killed,entropy0,1,1,0,7,252
264,"[3,3,3,4,4;3,3,4,12;3,3,12,4]",killed,entropy0,2,2,0,8,298
265,"[3,3,3,4,4;3,3,3,4,4;3,3,12,4]",killed,entropy0,1,1,0,8,256
266,"[3,3,3,4,4;3,3,4,12;3,3,3,4,4]",killed,entropy0,2,2,0,9,380
267,"[3,3,3,4,4;3,3,4,12;3,3,3,4,4]",killed,entropy0,1,1,0,8,181
268,"[3,3,3,4,4;3,3,4,12;3,4,3,12]",killed,surrounded-disallowed,4,4,0,7,1114
269,"[3,3,3,4,4;3,3,4,12;3,4,3,12]",killed,surrounded-disallowed,6,6,0,10,1817
270,"[3,3,3,4,4;3,4,3,12;3,3,12,4]",killed,surrounded-disallowed,2,2,0,7,297
271,"[3,3,3,4,4;3,4,3,12;3,3,4,12]",killed,surrounded-disallowed,3,3,1,7,727
272,"[3,3,3,4,4;3,4,3,12;3,3,4,12]",killed,entropy0,1,1,0,9,180
273,"[3,3,3,4,4;3,3,4,12;3,4,6,4]",killed,entropy0,2,2,0,8,378
274,"[3,3,3,4,4;3,4,6,4;3,3,4,12]",survived,timecap,-1,16,0,18,11528
275,"[3,3,3,4,4;3,4,6,4;3,3,12,4]",survived,timecap,-1,15,1,18,11433
276,"[3,3,3,4,4;3,4,4,6;3,3,6,6]",survived,wall,-1,6,0,15,1739
277,"[3,3,3,4,4;3,4,4,6;3,3,6,6]",survived,wall,-1,5,1,15,1678
278,"[3,3,3,4,4;3,3,6,6;3,4,4,6]",survived,wall,-1,8,0,15,3252
279,"[3,3,3,4,4;3,3,6,6;3,6,4,4]",survived,wall,-1,8,0,15,3219
280,"[3,3,3,4,4;3,4,4,6;3,3,6,6]",survived,wall,-1,7,0,16,2490
281,"[3,3,3,4,4;3,4,4,6;3,6,4,4]",killed,entropy0,1,1,0,9,140
282,"[3,3,3,4,4;3,3,3,4,4;3,4,4,6]",killed,entropy0,7,7,0,13,2065
283,"[3,3,3,4,4;3,3,3,4,4;3,6,4,4]",killed,entropy0,7,7,0,13,2122
284,"[3,3,3,4,4;3,3,3,4,4;3,4,4,6]",killed,entropy0,7,7,0,13,2058
285,"[3,3,3,4,4;3,3,3,4,4;3,6,4,4]",killed,entropy0,7,7,0,13,2158
286,"[3,3,3,4,4;3,4,6,4;3,4,4,6]",killed,entropy0,3,3,0,8,644
287,"[3,3,3,4,4;3,4,6,4;3,4,4,6]",killed,entropy0,1,1,0,8,251
288,"[3,3,3,4,4;3,4,4,6;3,4,6,4]",killed,entropy0,4,4,0,8,772
289,"[3,3,3,4,4;4,4,4,4;3,4,4,6]",killed,entropy0,3,3,0,11,636
290,"[3,3,3,4,4;3,4,4,6;3,6,3,6]",survived,wall,-1,3,0,11,675
291,"[3,3,3,4,4;3,4,6,4;3,4,6,4]",survived,budget,-1,16,0,15,11354
292,"[3,3,3,4,4;3,4,6,4;3,4,6,4]",survived,budget,-1,16,0,15,10538
293,"[3,3,3,4,4;3,4,6,4;3,4,6,4]",survived,budget,-1,16,0,15,10757
294,"[3,3,3,4,4;3,3,3,4,4;3,4,6,4]",killed,entropy0,1,1,0,9,93
295,"[3,3,3,4,4;3,4,6,4;3,3,3,4,4]",survived,budget,-1,16,0,15,10349
296,"[3,3,3,4,4;3,4,6,4;3,3,3,4,4]",survived,budget,-1,16,0,15,10399
297,"[3,3,3,4,4;3,4,6,4;3,3,3,4,4]",survived,budget,-1,16,0,15,10442
298,"[3,3,3,4,4;3,4,6,4;4,6,12]",killed,entropy0,2,2,0,9,316
299,"[3,3,3,4,4;4,4,4,4;4,4,4,4]",survived,timecap,-1,16,0,17,11540
300,"[3,3,3,4,4;4,4,4,4;4,4,4,4]",survived,timecap,-1,15,0,15,10102
301,"[3,3,3,4,4;3,3,3,4,4;4,4,4,4]",survived,timecap,-1,16,0,17,11658
302,"[3,3,3,4,4;3,3,3,4,4;4,4,4,4]",survived,timecap,-1,16,0,17,11605
303,"[3,3,3,4,4;4,4,4,4;3,3,3,4,4]",survived,timecap,-1,14,0,16,11405
304,"[3,3,4,12;3,3,4,3,4;3,3,12,4]",killed,entropy0,1,1,0,8,126
305,"[3,3,4,12;3,3,4,3,4;3,3,4,3,4]",killed,entropy0,2,2,0,10,382
306,"[3,3,4,12;3,3,4,3,4;3,3,4,3,4]",killed,entropy0,1,1,0,8,317
307,"[3,3,4,12;3,4,3,12;3,3,4,3,4]",survived,wall,-1,2,0,9,460
308,"[3,3,4,12;3,4,3,12;3,3,4,3,4]",survived,wall,-1,2,0,9,457
309,"[3,3,4,12;3,4,3,12;3,3,4,3,4]",survived,wall,-1,4,0,12,1256
310,"[3,3,4,12;3,4,3,12;3,3,4,3,4]",survived,wall,-1,2,0,10,866
311,"[3,3,4,12;3,3,4,3,4;3,4,3,12]",survived,wall,-1,4,0,9,1510
312,"[3,3,4,12;3,3,4,3,4;3,4,3,12]",survived,wall,-1,4,0,9,1368
313,"[3,3,4,12;3,3,4,3,4;3,4,3,12]",killed,entropy0,2,2,0,8,652
314,"[3,3,4,12;3,3,4,3,4;3,4,3,12]",survived,wall,-1,7,0,11,2969
315,"[3,3,4,12;3,4,3,12;3,3,4,3,4]",survived,wall,-1,7,0,11,2470
316,"[3,3,4,12;3,3,4,3,4;3,4,6,4]",killed,entropy0,2,2,0,9,494
317,"[3,12,12;3,3,12,4;3,3,4,3,4]",survived,wall,-1,3,1,9,848
318,"[3,3,4,3,4;3,4,4,6;3,3,6,6]",survived,wall,-1,4,0,13,1140
319,"[3,3,4,3,4;3,3,6,6;3,4,4,6]",killed,entropy0,1,1,0,6,293
320,"[3,3,4,3,4;3,4,3,12;3,4,3,12]",killed,entropy0,4,4,0,11,823
321,"[3,3,4,3,4;3,4,3,12;3,4,3,12]",killed,entropy0,3,3,0,10,526
322,"[3,3,4,3,4;3,3,4,3,4;3,4,3,12]",killed,entropy0,4,4,0,11,1041
323,"[3,3,4,3,4;3,3,4,3,4;3,4,3,12]",killed,entropy0,4,4,0,11,849
324,"[3,3,4,3,4;3,3,4,3,4;3,4,3,12]",killed,entropy0,4,4,0,11,705
325,"[3,3,4,3,4;3,4,3,12;3,3,4,3,4]",killed,entropy0,2,2,0,9,359
