seed;latticeKey;hol;areaKey;detFloat;cVerdict;fillMs;rawCells;solveRawCells
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,5,0,0,0#1|-2,0,0,0,1,0,0,0;4;0,0,9,0,2;7.7942;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-5,0,0,0,1,0,0,0;4;0,0,9,0,2;7.7942;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-5,0,0,0,5,0,0,0;4;0,0,5,0,1;8.6603;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,1,0,0,0#1|0,0,0,0,-5,0,0,0;4;0,0,5,0,1;8.6603;0;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-5,0,0,0,0,0,0,0;4;0,0,5,0,1;8.6603;0;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-6,0,0,0,5,0,0,0;4;0,0,11,0,2;9.5263;1;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,6,0,0,0#1|-2,0,0,0,1,0,0,0;4;0,0,11,0,2;9.5263;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-6,0,0,0,1,0,0,0;4;0,0,11,0,2;9.5263;1;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,4,0,0,0#1|-4,0,0,0,2,0,0,0;12;0,0,6,0,1;10.3923;1;29.2;1;1
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,0,0,0,0#1|-3,0,0,0,6,0,0,0;4;0,0,6,0,1;10.3923;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,0,0,0,0#1|-4,0,0,0,6,0,0,0;4;0,0,6,0,1;10.3923;0;0.8;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-6,0,0,0,6,0,0,0;4;0,0,6,0,1;10.3923;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,1,0,0,0#1|0,0,0,0,-6,0,0,0;4;0,0,6,0,1;10.3923;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-6,0,0,0,3,0,0,0#1|0,0,0,0,-2,0,0,0;4;0,0,6,0,1;10.3923;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-6,0,0,0,4,0,0,0#1|0,0,0,0,-2,0,0,0;4;0,0,6,0,1;10.3923;0;1.1;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-6,0,0,0,0,0,0,0;4;0,0,6,0,1;10.3923;0;1.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,2,0,0,0#1|-3,0,0,0,-3,0,0,0;4;0,0,6,0,1;10.3923;0;5.7;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,2,0,0,0#1|-4,0,0,0,-2,0,0,0;4;0,0,6,0,1;10.3923;0;5.6;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,4,0,0,0#1|-3,0,0,0,0,0,0,0;4;0,0,6,0,1;10.3923;0;6.3;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-4,0,0,0,2,0,0,0#1|0,0,0,0,-3,0,0,0;4;0,0,6,0,1;10.3923;0;6.5;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-2,0,0,0,-2,0,0,0#1|-3,0,0,0,3,0,0,0;4;0,0,6,0,1;10.3923;0;12.0;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-3,0,0,0,-1,0,0,0#1|-4,0,0,0,3,0,0,0;12;0,0,13,0,2;11.2583;1;7.2;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-3,0,0,0,4,0,0,0#1|-4,0,0,0,1,0,0,0;12;0,0,13,0,2;11.2583;1;14.4;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,-1,0,0,0#1|-7,0,0,0,6,0,0,0;4;0,0,13,0,2;11.2583;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,7,0,0,0#1|-2,0,0,0,1,0,0,0;4;0,0,13,0,2;11.2583;0;0.9;0;0
[3,3,3,3,3,3;3,3,3,3,6;3,3,3,3,6];1|-1,0,0,0,2,0,0,0#1|-7,0,0,0,1,0,0,0;4;0,0,13,0,2;11.2583;0;1.0;0;0
