id,k,lattice,group,orbifold
ctrnact-12_346-4g_4j_4k2_5b4_5d4-18,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_5b4_5d4-2,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_5b4_5d4-20,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k2_5b4_5d4-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k2_5b4_6j4-1,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_5b4_6j4-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-10,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-12,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-18,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-20,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-25,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-28,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k4_4u2_5b2_5d2-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k6_5d4-1,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k6_5d4-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4u2_5b6_5d2-2,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4u2_5b6_5d2-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_5b6_5d2_6j2-2,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_5b6_5d2_6j2-4,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_4k2_4u2_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_4k2_4u4_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_4k2_5d2_6j4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_4k2_5d6-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_4u2_5b2_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_5b2_5d4_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j3_5b2_5d4_6j2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j4_4k2_4u_5b4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j4_4k2_4u_5b4-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-10,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-6,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u2_5b4_5d2-9,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u4_5b4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_4u4_5b4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-10,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-13,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-14,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-17,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-19,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-21,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-23,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-7,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d2_6j2-9,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-11,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-17,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-19,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_5d4-9,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_6j4-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k2_5b4_6j4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-11,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-17,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-19,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-26,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-27,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_5d2-9,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u2_5b2_6j2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u4_5b2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_4u4_5b2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-10,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-13,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-14,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-6,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_5d4-9,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_6j4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k4_5b2_6j4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_4u2_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_4u2_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_4u2_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_4u2_5d2-7,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_5d2_6j2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_5d4-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4k6_5d4-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4u2_5b6_5d2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_4u2_5b6_5d2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d2_6j2-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d2_6j2-3,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d4-1,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d4-2,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d4-5,12,rectangular,pmg,22*
ctrnact-12_346-4i_4j_5b6_5d4-7,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_4s2_5b6-1,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_4s2_5b6-2,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_4u2_5b6-2,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u2_5b6-4,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_4u2_5b6-6,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u2_5b6-8,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_4u2_5d2_6j4-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u2_5d6-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u2_5d6-3,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u4_5d2_6j2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u6_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u_5b6_6j-2,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_4u_5b6_6j-3,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_5d2-11,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_5d2-14,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_5d2-16,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_5d2-18,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_5d2-20,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_5d2-21,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_5d2-23,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_5d2-9,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6g2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6g2-4,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6h2-2,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6h2-3,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6j2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6j2-17,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6j2-2,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6j2-23,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6j2-25,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5b6_6j2-31,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6j2-7,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5b6_6j2-8,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k2_5d2_6j6-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5d6_6j2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k2_5d6_6j2-3,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4r2_5b4-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4r2_5b4-4,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4s2_5b4-2,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4s2_5b4-3,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4u2_5b4-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4u2_5b4-10,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4u2_5b4-12,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4u2_5b4-13,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4u2_5b4-15,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_4u2_5b4-17,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4u2_5b4-3,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4u2_5b4-6,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_4u2_5b4-8,12,rectangular,pmg,22*
