id,k,weight
ctrnact-12_34-4p2_4s8_5c2-1,12,22
ctrnact-12_34-4p2_4s8_5c2-2,12,22
ctrnact-12_34-4p2_4s8_5c2-3,12,22
ctrnact-12_34-4p2_4s8_5c2-4,12,22
ctrnact-12_34-4p2_4s_5c2_6i7-1,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-1,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-11,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-2,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-3,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-4,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-5,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-6,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-7,12,22
ctrnact-12_34-4p2_4s_5c4_6i5-9,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-1,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-10,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-11,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-12,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-13,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-14,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-15,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-17,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-19,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-2,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-23,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-24,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-26,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-3,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-4,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-5,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-6,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-7,12,22
ctrnact-12_34-4p2_4s_5c6_6i3-8,12,22
